,bright_sum,bright_size,bright_density,dark_sum,dark_size,dark_density
97,5059.0,46.0,109.97826086956522,0.0,0.0,
98,20049.0,179.0,112.00558659217877,0.0,0.0,
99,315.0,3.0,105.0,0.0,0.0,
100,4902.0,44.0,111.4090909090909,0.0,0.0,
101,45179.0,523.0,86.38432122370936,0.0,0.0,
102,11606.0,98.0,118.42857142857143,0.0,0.0,
103,25913.0,230.0,112.66521739130435,0.0,0.0,
104,9039.0,82.0,110.23170731707317,0.0,0.0,
105,364160.0,2510.0,145.08366533864543,621561.0,3608.0,172.2730044345898
106,27861.0,218.0,127.80275229357798,111310.0,744.0,149.61021505376345
107,31443.0,263.0,119.5551330798479,0.0,0.0,
108,13309.0,116.0,114.73275862068965,0.0,0.0,
109,14379.0,126.0,114.11904761904762,0.0,0.0,
110,25013.0,208.0,120.2548076923077,0.0,0.0,
111,20944.0,179.0,117.00558659217877,0.0,0.0,
112,6712.0,58.0,115.72413793103448,0.0,0.0,
113,17733.0,137.0,129.43795620437956,711.0,5.0,142.2
114,12534.0,117.0,107.12820512820512,0.0,0.0,
115,1005.0,9.0,111.66666666666667,0.0,0.0,
116,5743.0,51.0,112.6078431372549,0.0,0.0,
117,6821.0,54.0,126.31481481481481,0.0,0.0,
118,32368.0,277.0,116.85198555956678,0.0,0.0,
119,26829.0,230.0,116.64782608695653,0.0,0.0,
120,6503.0,54.0,120.42592592592592,0.0,0.0,
121,16674.0,135.0,123.5111111111111,0.0,0.0,
122,6010.0,52.0,115.57692307692308,0.0,0.0,
123,17070.0,149.0,114.56375838926175,0.0,0.0,
124,35249.0,307.0,114.81758957654723,0.0,0.0,
125,210042.0,1814.0,115.78941565600881,724401.0,4497.0,161.08539026017345
126,6161.0,53.0,116.24528301886792,0.0,0.0,
127,13506.0,125.0,108.048,0.0,0.0,
128,7301.0,64.0,114.078125,0.0,0.0,
129,3405.0,29.0,117.41379310344827,0.0,0.0,
130,6751.0,56.0,120.55357142857143,0.0,0.0,
131,14102.0,119.0,118.50420168067227,0.0,0.0,
132,31359.0,256.0,122.49609375,0.0,0.0,
133,32144.0,278.0,115.62589928057554,0.0,0.0,
134,15294.0,126.0,121.38095238095238,0.0,0.0,
135,10233.0,89.0,114.97752808988764,0.0,0.0,
136,4826.0,42.0,114.9047619047619,0.0,0.0,
137,9092.0,79.0,115.0886075949367,0.0,0.0,
138,8302.0,72.0,115.30555555555556,0.0,0.0,
139,61398.0,505.0,121.58019801980198,0.0,0.0,
140,15201.0,136.0,111.7720588235294,0.0,0.0,
141,12442.0,97.0,128.2680412371134,0.0,0.0,
142,12634.0,112.0,112.80357142857143,0.0,0.0,
143,52614.0,430.0,122.35813953488372,0.0,0.0,
144,14201.0,118.0,120.34745762711864,94057.0,650.0,144.70307692307694
145,18331.0,153.0,119.81045751633987,0.0,0.0,
146,29721.0,249.0,119.36144578313252,0.0,0.0,
147,15731.0,132.0,119.17424242424242,0.0,0.0,
148,608527.0,4859.0,125.2370858201276,162430.0,946.0,171.70190274841437
149,18976.0,156.0,121.64102564102564,0.0,0.0,
150,11628.0,98.0,118.65306122448979,0.0,0.0,
151,9052.0,79.0,114.58227848101266,0.0,0.0,
152,17928.0,162.0,110.66666666666667,0.0,0.0,
153,51425.0,465.0,110.59139784946237,0.0,0.0,
154,12722.0,114.0,111.59649122807018,0.0,0.0,
155,26530.0,239.0,111.00418410041841,0.0,0.0,
156,9257.0,81.0,114.28395061728395,0.0,0.0,
157,6179.0,51.0,121.15686274509804,0.0,0.0,
158,6760.0,59.0,114.57627118644068,0.0,0.0,
159,25358.0,218.0,116.3211009174312,0.0,0.0,
160,53362.0,442.0,120.72850678733032,0.0,0.0,
161,3094.0,27.0,114.5925925925926,0.0,0.0,
162,9320.0,82.0,113.65853658536585,0.0,0.0,
163,15491.0,130.0,119.16153846153846,0.0,0.0,
164,0.0,0.0,,0.0,0.0,
165,5004.0,42.0,119.14285714285714,0.0,0.0,
166,6900.0,60.0,115.0,0.0,0.0,
167,8572.0,71.0,120.73239436619718,0.0,0.0,
168,36760.0,319.0,115.23510971786834,0.0,0.0,
169,47110.0,408.0,115.4656862745098,0.0,0.0,
170,11644.0,99.0,117.61616161616162,0.0,0.0,
171,17054.0,145.0,117.61379310344827,0.0,0.0,
172,10359.0,84.0,123.32142857142857,0.0,0.0,
173,48342.0,430.0,112.42325581395349,0.0,0.0,
174,9697.0,75.0,129.29333333333332,0.0,0.0,
175,19810.0,163.0,121.53374233128834,118306.0,752.0,157.3218085106383
176,4548.0,42.0,108.28571428571429,0.0,0.0,
177,6724.0,60.0,112.06666666666666,0.0,0.0,
178,8490.0,71.0,119.5774647887324,0.0,0.0,
179,9352.0,79.0,118.37974683544304,0.0,0.0,
180,18621.0,177.0,105.20338983050847,0.0,0.0,
181,7910.0,66.0,119.84848484848484,0.0,0.0,
182,5508.0,49.0,112.40816326530613,0.0,0.0,
183,4766.0,45.0,105.91111111111111,0.0,0.0,
184,600.0,6.0,100.0,97748.0,816.0,119.78921568627452
185,3762.0,33.0,114.0,0.0,0.0,
186,93510.0,868.0,107.73041474654377,0.0,0.0,
187,22677.0,195.0,116.29230769230769,0.0,0.0,
188,12112.0,105.0,115.35238095238095,0.0,0.0,
189,26985.0,244.0,110.59426229508196,0.0,0.0,
190,8583.0,72.0,119.20833333333333,0.0,0.0,
191,5042.0,45.0,112.04444444444445,0.0,0.0,
192,8101.0,68.0,119.13235294117646,0.0,0.0,
193,20676.0,177.0,116.8135593220339,0.0,0.0,
194,13726.0,110.0,124.78181818181818,0.0,0.0,
195,10736.0,93.0,115.44086021505376,0.0,0.0,
196,25321.0,220.0,115.09545454545454,0.0,0.0,
197,8168.0,71.0,115.04225352112677,0.0,0.0,
198,1967.0,17.0,115.70588235294117,0.0,0.0,
199,14864.0,123.0,120.84552845528455,0.0,0.0,
200,19608.0,163.0,120.29447852760737,0.0,0.0,
201,13514.0,111.0,121.74774774774775,0.0,0.0,
202,11641.0,96.0,121.26041666666667,0.0,0.0,
203,268905.0,2240.0,120.046875,203815.0,1366.0,149.205710102489
204,4913.0,40.0,122.825,0.0,0.0,
205,19469.0,186.0,104.67204301075269,0.0,0.0,
206,14875.0,137.0,108.57664233576642,0.0,0.0,
207,6127.0,51.0,120.13725490196079,0.0,0.0,
208,10956.0,102.0,107.41176470588235,0.0,0.0,
209,13094.0,109.0,120.12844036697248,0.0,0.0,
210,7253.0,70.0,103.61428571428571,31111.0,257.0,121.05447470817121
211,28361.0,256.0,110.78515625,0.0,0.0,
212,12447.0,106.0,117.4245283018868,0.0,0.0,
213,6411.0,61.0,105.09836065573771,0.0,0.0,
214,74927.0,640.0,117.0734375,0.0,0.0,
215,4919.0,45.0,109.31111111111112,0.0,0.0,
216,21234.0,190.0,111.7578947368421,0.0,0.0,
217,13052.0,113.0,115.50442477876106,0.0,0.0,
218,13817.0,118.0,117.09322033898304,0.0,0.0,
219,41692.0,371.0,112.37735849056604,0.0,0.0,
220,12563.0,106.0,118.51886792452831,0.0,0.0,
221,32958.0,288.0,114.4375,0.0,0.0,
222,7306.0,65.0,112.4,0.0,0.0,
223,14539.0,118.0,123.21186440677967,0.0,0.0,
224,76285.0,663.0,115.06033182503771,0.0,0.0,
225,9464.0,85.0,111.34117647058824,0.0,0.0,
226,7636.0,65.0,117.47692307692307,0.0,0.0,
227,9390.0,84.0,111.78571428571429,0.0,0.0,
228,12553.0,109.0,115.1651376146789,0.0,0.0,
229,239466.0,2047.0,116.98387884709331,713657.0,4519.0,157.9236556760345
230,6825.0,61.0,111.88524590163935,0.0,0.0,
231,10548.0,90.0,117.2,0.0,0.0,
232,7142.0,64.0,111.59375,0.0,0.0,
233,10602.0,91.0,116.50549450549451,0.0,0.0,
234,57256.0,531.0,107.82674199623352,0.0,0.0,
235,17537.0,143.0,122.63636363636364,0.0,0.0,
236,8852.0,76.0,116.47368421052632,0.0,0.0,
237,19483.0,162.0,120.26543209876543,0.0,0.0,
238,6481.0,57.0,113.70175438596492,130.0,1.0,130.0
239,5936.0,53.0,112.0,0.0,0.0,
240,48810.0,398.0,122.63819095477388,121368.0,772.0,157.21243523316062
241,9395.0,79.0,118.92405063291139,0.0,0.0,
242,5053.0,43.0,117.51162790697674,0.0,0.0,
243,17132.0,139.0,123.25179856115108,0.0,0.0,
244,5784.0,50.0,115.68,0.0,0.0,
245,6801.0,59.0,115.27118644067797,0.0,0.0,
246,8846.0,88.0,100.52272727272727,0.0,0.0,
247,13280.0,111.0,119.63963963963964,0.0,0.0,
248,8215.0,76.0,108.09210526315789,0.0,0.0,
249,18860.0,182.0,103.62637362637362,6342.0,53.0,119.66037735849056
250,21458.0,175.0,122.61714285714285,0.0,0.0,
251,11600.0,103.0,112.62135922330097,1931.0,15.0,128.73333333333332
252,23582.0,205.0,115.03414634146341,0.0,0.0,
253,14193.0,119.0,119.26890756302521,0.0,0.0,
254,5451.0,43.0,126.76744186046511,0.0,0.0,
255,10394.0,87.0,119.47126436781609,0.0,0.0,
256,689389.0,5226.0,131.91523153463453,273889.0,1716.0,159.60897435897436
257,5445.0,47.0,115.85106382978724,0.0,0.0,
258,4583.0,39.0,117.51282051282051,0.0,0.0,
259,4314.0,37.0,116.5945945945946,0.0,0.0,
260,9667.0,85.0,113.72941176470589,0.0,0.0,
261,17529.0,146.0,120.06164383561644,0.0,0.0,
262,16488.0,131.0,125.86259541984732,0.0,0.0,
263,9622.0,82.0,117.34146341463415,0.0,0.0,
264,21192.0,172.0,123.20930232558139,0.0,0.0,
265,28544.0,245.0,116.5061224489796,0.0,0.0,
266,13312.0,109.0,122.12844036697248,0.0,0.0,
267,9847.0,86.0,114.5,0.0,0.0,
268,13687.0,110.0,124.42727272727272,0.0,0.0,
269,23765.0,207.0,114.80676328502416,0.0,0.0,
270,5184.0,44.0,117.81818181818181,0.0,0.0,
271,6475.0,57.0,113.59649122807018,0.0,0.0,
272,11567.0,104.0,111.22115384615384,0.0,0.0,
273,11571.0,99.0,116.87878787878788,0.0,0.0,
274,5878.0,57.0,103.12280701754386,0.0,0.0,
275,23412.0,185.0,126.55135135135136,0.0,0.0,
276,27935.0,252.0,110.85317460317461,0.0,0.0,
277,19893.0,164.0,121.29878048780488,0.0,0.0,
278,7512.0,65.0,115.56923076923077,0.0,0.0,
279,20922.0,172.0,121.63953488372093,0.0,0.0,
280,31816.0,275.0,115.69454545454545,1968.0,15.0,131.2
281,14580.0,131.0,111.29770992366412,0.0,0.0,
282,7339.0,68.0,107.92647058823529,0.0,0.0,
283,0.0,0.0,,103095.0,697.0,147.91248206599712
284,6353.0,62.0,102.46774193548387,0.0,0.0,
285,9866.0,86.0,114.72093023255815,0.0,0.0,
286,13927.0,123.0,113.22764227642277,0.0,0.0,
287,42422.0,388.0,109.33505154639175,0.0,0.0,
288,18733.0,151.0,124.05960264900662,0.0,0.0,
289,9682.0,83.0,116.65060240963855,0.0,0.0,
